codigo,nombre,tipo,naturaleza,nivel,codigo_padre,requiere_tercero,activa
1,ACTIVO,ACT,debit,1,,No,Si
11,DISPONIBLE,ACT,debit,2,1,No,Si
1105,CAJA,ACT,debit,3,11,No,Si
110505,CAJA GENERAL,ACT,debit,4,1105,No,Si
11050501,Caja General,ACT,debit,5,110505,Si,Si
110510,CAJAS MENORES,ACT,debit,4,1105,No,Si
11051001,Cajas Menores,ACT,debit,5,110510,Si,Si
110515,MONEDA EXTRANJERA,ACT,debit,4,1105,No,Si
11051501,Moneda Extranjera,ACT,debit,5,110515,Si,Si
1110,BANCOS,ACT,debit,3,11,No,Si
111005,MONEDA NACIONAL,ACT,debit,4,1110,No,Si
11100501,Moneda Nacional,ACT,debit,5,111005,Si,Si
111010,MONEDA EXTRANJERA,ACT,debit,4,1110,No,Si
11101001,Moneda Extranjera,ACT,debit,5,111010,Si,Si
1115,REMESAS EN TRANSITO,ACT,debit,3,11,No,Si
111505,MONEDA NACIONAL,ACT,debit,4,1115,No,Si
11150501,Moneda Nacional,ACT,debit,5,111505,Si,Si
111510,MONEDA EXTRANJERA,ACT,debit,4,1115,No,Si
11151001,Moneda Extranjera,ACT,debit,5,111510,Si,Si
1120,CUENTAS DE AHORRO,ACT,debit,3,11,No,Si
112005,BANCOS,ACT,debit,4,1120,No,Si
11200501,Bancos,ACT,debit,5,112005,Si,Si
112010,CORPORACIONES DE AHORRO Y VIVIENDA,ACT,debit,4,1120,No,Si
11201001,Corporaciones De Ahorro Y Vivienda,ACT,debit,5,112010,Si,Si
112015,ORGANISMOS COOPERATIVOS FINANCIEROS,ACT,debit,4,1120,No,Si
11201501,Organismos Cooperativos Financieros,ACT,debit,5,112015,Si,Si
1125,FONDOS,ACT,debit,3,11,No,Si
112505,ROTATORIOS MONEDA NACIONAL,ACT,debit,4,1125,No,Si
11250501,Rotatorios Moneda Nacional,ACT,debit,5,112505,Si,Si
112510,ROTATORIOS MONEDA EXTRANJERA,ACT,debit,4,1125,No,Si
11251001,Rotatorios Moneda Extranjera,ACT,debit,5,112510,Si,Si
112515,ESPECIALES MONEDA NACIONAL,ACT,debit,4,1125,No,Si
11251501,Especiales Moneda Nacional,ACT,debit,5,112515,Si,Si
112520,ESPECIALES MONEDA EXTRANJERA,ACT,debit,4,1125,No,Si
11252001,Especiales Moneda Extranjera,ACT,debit,5,112520,Si,Si
112525,DE AMORTIZACION MONEDA NACIONAL,ACT,debit,4,1125,No,Si
11252501,De Amortizacion Moneda Nacional,ACT,debit,5,112525,Si,Si
112530,DE AMORTIZACION MONEDA EXTRANJERA,ACT,debit,4,1125,No,Si
11253001,De Amortizacion Moneda Extranjera,ACT,debit,5,112530,Si,Si
12,INVERSIONES,ACT,debit,2,1,No,Si
1205,ACCIONES,ACT,debit,3,12,No,Si
