codigo,nombre,tipo,naturaleza,nivel,codigo_padre,requiere_tercero,activa
1,ACTIVO,1,debit,1,,No,Si
11,DISPONIBLE,1,debit,2,1,No,Si
1105,CAJA,1,debit,3,11,No,Si
110505,CAJA GENERAL,1,debit,4,1105,No,Si
11050501,Caja General,1,debit,5,110505,Si,Si
110510,CAJAS MENORES,1,debit,4,1105,No,Si
11051001,Cajas Menores,1,debit,5,110510,Si,Si
110515,MONEDA EXTRANJERA,1,debit,4,1105,No,Si
11051501,Moneda Extranjera,1,debit,5,110515,Si,Si
1110,BANCOS,1,debit,3,11,No,Si
111005,MONEDA NACIONAL,1,debit,4,1110,No,Si
11100501,Moneda Nacional,1,debit,5,111005,Si,Si
111010,MONEDA EXTRANJERA,1,debit,4,1110,No,Si
11101001,Moneda Extranjera,1,debit,5,111010,Si,Si
1115,REMESAS EN TRANSITO,1,debit,3,11,No,Si
111505,MONEDA NACIONAL,1,debit,4,1115,No,Si
11150501,Moneda Nacional,1,debit,5,111505,Si,Si
111510,MONEDA EXTRANJERA,1,debit,4,1115,No,Si
11151001,Moneda Extranjera,1,debit,5,111510,Si,Si
1120,CUENTAS DE AHORRO,1,debit,3,11,No,Si
112005,BANCOS,1,debit,4,1120,No,Si
11200501,Bancos,1,debit,5,112005,Si,Si
112010,CORPORACIONES DE AHORRO Y VIVIENDA,1,debit,4,1120,No,Si
11201001,Corporaciones De Ahorro Y Vivienda,1,debit,5,112010,Si,Si
112015,ORGANISMOS COOPERATIVOS FINANCIEROS,1,debit,4,1120,No,Si
11201501,Organismos Cooperativos Financieros,1,debit,5,112015,Si,Si
1125,FONDOS,1,debit,3,11,No,Si
112505,ROTATORIOS MONEDA NACIONAL,1,debit,4,1125,No,Si
11250501,Rotatorios Moneda Nacional,1,debit,5,112505,Si,Si
112510,ROTATORIOS MONEDA EXTRANJERA,1,debit,4,1125,No,Si
11251001,Rotatorios Moneda Extranjera,1,debit,5,112510,Si,Si
112515,ESPECIALES MONEDA NACIONAL,1,debit,4,1125,No,Si
11251501,Especiales Moneda Nacional,1,debit,5,112515,Si,Si
112520,ESPECIALES MONEDA EXTRANJERA,1,debit,4,1125,No,Si
11252001,Especiales Moneda Extranjera,1,debit,5,112520,Si,Si
112525,DE AMORTIZACION MONEDA NACIONAL,1,debit,4,1125,No,Si
11252501,De Amortizacion Moneda Nacional,1,debit,5,112525,Si,Si
112530,DE AMORTIZACION MONEDA EXTRANJERA,1,debit,4,1125,No,Si
11253001,De Amortizacion Moneda Extranjera,1,debit,5,112530,Si,Si
12,INVERSIONES,1,debit,2,1,No,Si
1205,ACCIONES,1,debit,3,12,No,Si
1210,CUOTAS O PARTES DE INTERES SOCIAL,1,debit,3,12,No,Si
1215,BONOS,1,debit,3,12,No,Si
1220,CEDULAS,1,debit,3,12,No,Si
1225,CERTIFICADOS,1,debit,3,12,No,Si
1230,PAPELES COMERCIALES,1,debit,3,12,No,Si
1235,TITULOS,1,debit,3,12,No,Si
1240,ACEPTACIONES BANCARIAS O FINANCIERAS,1,debit,3,12,No,Si
1245,DERECHOS FIDUCIARIOS,1,debit,3,12,No,Si
1250,DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS (REPOS),1,debit,3,12,No,Si
1255,OBLIGATORIAS,1,debit,3,12,No,Si
1260,CUENTAS EN PARTICIPACION,1,debit,3,12,No,Si
1295,OTRAS INVERSIONES,1,debit,3,12,No,Si
1299,PROVISIONES,1,debit,3,12,No,Si
13,DEUDORES,1,debit,2,1,No,Si
1305,CLIENTES,1,debit,3,13,No,Si
130505,NACIONALES,1,debit,4,1305,No,Si
13050501,Nacionales,1,debit,5,130505,Si,Si
130510,DEL EXTERIOR,1,debit,4,1305,No,Si
13051001,Del Exterior,1,debit,5,130510,Si,Si
130515,DEUDORES DEL SISTEMA,1,debit,4,1305,No,Si
13051501,Deudores Del Sistema,1,debit,5,130515,Si,Si
1310,CUENTAS CORRIENTES COMERCIALES,1,debit,3,13,No,Si
131005,CASA MATRIZ,1,debit,4,1310,No,Si
13100501,Casa Matriz,1,debit,5,131005,Si,Si
131010,COMPAÑIAS VINCULADAS,1,debit,4,1310,No,Si
13101001,Compañias Vinculadas,1,debit,5,131010,Si,Si
131015,ACCIONISTAS O SOCIOS,1,debit,4,1310,No,Si
13101501,Accionistas O Socios,1,debit,5,131015,Si,Si
131020,PARTICULARES,1,debit,4,1310,No,Si
13102001,Particulares,1,debit,5,131020,Si,Si
131095,OTRAS,1,debit,4,1310,No,Si
13109501,Otras,1,debit,5,131095,Si,Si
1315,CUENTAS POR COBRAR A CASA MATRIZ,1,debit,3,13,No,Si
131505,VENTAS,1,debit,4,1315,No,Si
13150501,Ventas,1,debit,5,131505,Si,Si
131510,PAGOS A NOMBRE DE CASA MATRIZ,1,debit,4,1315,No,Si
13151001,Pagos A Nombre De Casa Matriz,1,debit,5,131510,Si,Si
131515,VALORES RECIBIDOS POR CASA MATRIZ,1,debit,4,1315,No,Si
13151501,Valores Recibidos Por Casa Matriz,1,debit,5,131515,Si,Si
131520,PRESTAMOS,1,debit,4,1315,No,Si
13152001,Prestamos,1,debit,5,131520,Si,Si
1320,CUENTAS POR COBRAR A VINCULADOS ECONOMICOS,1,debit,3,13,No,Si
132005,FILIALES,1,debit,4,1320,No,Si
13200501,Filiales,1,debit,5,132005,Si,Si
