referencia;categoria;descripcion;costo;precio1;preci2;precio3;cantidadBodega1;cantidadBodega2;cantidadBodega3;TotalBodegas;cantidadTransito;formato;presentacion;cajaEnPallet;pesoUndEmpaque;UndEmpaque;fichasUndEmpaque;codigoContable;cuentaContable;;
3;PISOS;PISO CREMA SELECTA/ 1.82M2;95370;187000;149600;112200;44;73;47;164;600;45X45;1.82;0;0;CAJA;11;368;143501;;
7;PISOS;PISO BARRANQUILLA NEGRO;334050;655000;524000;393000;106;76;31;213;1900;50X50;2.25;0;0;CAJA;9;366;143501;;
13;PISOS;PORCELANATO VANCUVER;353940;694000;555200;416400;109;32;71;212;1000;120x60;2.16;0;0;CAJA;3;301;143501;;categoria
805;ACCESORIOS;TAPETES VEHICULO;31360;49000;44100;39200;33;136;62;231;1400;-;1;0;0;PC;0;74;143501;;linea
1018;PISOS;PISO PARED PIEMONTE NEGRO;459000;900000;720000;540000;7;55;73;135;1900;31X60;1.68;0;0;CAJA;9;367;143501;;precio1
1253;PARED;PARED BLANCO SELECTO;485520;952000;761600;571200;142;75;106;323;1600;31X60;1.68;0;0;CAJA;9;225;143501;;precio2
3600;PARED;PARED BLANCA PLANA;18870;37000;29600;22200;92;32;119;243;1100;30X60;1.8;60;24.5;CAJA;10;235;143501;;precio3
3607;PARED;PARED CARRARA;55080;108000;86400;64800;58;133;84;275;1900;30X60;1.8;60;24.5;CAJA;10;237;143501;;presentacion
3617;PARED;PARED JAZMIN BLANCA;529890;1039000;831200;623400;135;75;114;324;2000;30X60;1.8;60;24.5;CAJA;10;242;143501;;peso
5073;PISOS;PORCELATO ALBA;184110;361000;288800;216600;131;68;23;222;1600;60X60;1.44;40;27;CAJA;4;362;143501;;cajaEnPallet
8001;PISOS;PORCELANATO VETA MARMOL SALT SOLUBLE;201450;395000;316000;237000;6;97;47;150;1700;60X60;1.44;50;21.5;CAJA;4;361;143501;;pesoUndEmpaque
8002;PISOS;PORCELANATO MINERAL SALT SOLUBLE;738480;1448000;1158400;868800;82;43;63;188;1900;60X60;1.44;50;21.5;CAJA;4;341;143501;;UndEmpaque
8005;PISOS;PORCELANATO ROBLE SALT SOLUBLE;577830;1133000;906400;679800;118;116;76;310;800;60X60;1.44;50;21.5;CAJA;4;352;143501;;
8008;PISOS;PORCELANATO TRAVERTINO SALT SOLUBLE;592110;1161000;928800;696600;1;99;30;130;1900;60X60;1.44;50;21.5;CAJA;4;358;143501;;
8010;PISOS;PORCELANATO CUARZON SALT SOLUBLE;670140;1314000;1051200;788400;138;119;94;351;1900;60X60;1.44;50;21.5;CAJA;4;325;143501;;
8013;PISOS;PORCELANATO MARMOLIZADO SALT SOLUBLE;367200;720000;576000;432000;69;2;142;213;1500;60X60;1.44;50;21.5;CAJA;4;339;143501;;
8014;PISOS;PORCELANATO VETA MADERA SALT SOLUBLE;53550;105000;84000;63000;129;131;109;369;800;60X60;1.44;50;21.5;CAJA;4;360;143501;;
8054;PISOS;PORCELANATO NATURA SALT SOLUBLE;500310;981000;784800;588600;114;26;109;249;1200;60X60;1.44;50;21.5;CAJA;4;343;143501;;
23244;PISOS;PORCELANATO BURDEOS;697170;1367000;1093600;820200;121;76;123;320;700;60X60;1.44;40;27;CAJA;4;311;143501;;
25387;PARED;PARED CORUÑA;67830;133000;106400;79800;149;89;111;349;1300;40X80;1.92;48;28;CAJA;6;215;143501;;
30610;PARED;PARED CRISTAL;437070;857000;685600;514200;2;14;98;114;1100;30X60;1.8;60;24.5;CAJA;10;238;143501;;
30611;PARED;PARED GRIS PERLADA;374850;735000;588000;441000;25;91;32;148;1000;30X60;1.8;60;24.5;CAJA;10;240;143501;;
30612;PARED;PARED VENECIA BLANCA;316710;621000;496800;372600;100;111;37;248;1500;30X60;1.8;60;24.5;CAJA;10;255;143501;;
60169;PISOS;PORCELANATO TOLUSE;9180;18000;14400;10800;64;133;65;262;1100;60X60;1.44;40;27;CAJA;4;356;143501;;
61874;PISOS;PORCELANATO FLORENCIA GOLD;508980;998000;798400;598800;27;0;17;44;900;60X120;2.16;48;43;CAJA;3;292;143501;;
66021;PISOS;PORCELANATO CRISTAL;610470;1197000;957600;718200;69;26;19;114;1100;60X60;1.44;40;24;CAJA;4;322;143501;;
66083;PISOS;PORCELANATO NISA;382500;750000;600000;450000;11;30;41;82;1500;60X60;1.44;40;27;CAJA;4;346;143501;;
68007;PISOS;PORCELANATO SAHARA;67320;132000;105600;79200;23;46;93;162;1100;60X60;1.44;40;27;CAJA;4;353;143501;;
71981;PISOS;PORCELANATO CATANIA GOLD;193800;380000;304000;228000;132;27;62;221;1500;60X120;2.16;48;43;CAJA;3;288;143501;;
216056;PISOS;PORCELANATO MARBELLA;441150;865000;692000;519000;45;125;147;317;1200;60X60;1.44;40;27;CAJA;4;337;143501;;
237943;BAÑOS;LVP VITAL CASIC SUB ;201960;396000;316800;237600;48;131;35;214;1000;60*40;1;17;19.5;PC;0;126;143501;;
253185;PARED;PARED NIZA;160140;314000;251200;188400;7;62;31;100;1300;40X80;1.92;48;28;CAJA;6;217;143501;;
253187;PARED;PARED OVIEDO;13770;27000;21600;16200;67;92;56;215;700;40X80;1.92;48;28;CAJA;6;218;143501;;
572001;PARED;PARED GRANADA;363630;713000;570400;427800;6;116;100;222;500;40X80;1.92;48;28;CAJA;6;216;143501;;
612663;PISOS;PORCELANATO PEÑOL GOLD;145860;286000;228800;171600;112;50;79;241;1100;60X120;2.16;48;43;CAJA;3;299;143501;;
617652;PISOS;PORCELNATO NAPOLI GOLD;526320;1032000;825600;619200;95;142;16;253;1900;60X120;2.16;48;43;CAJA;3;302;143501;;
1260601;PISOS;PORCELANATO STONE OSCURO ;670140;1314000;1051200;788400;28;50;8;86;1800;60X120;2.16;40;43;CAJA;3;300;143501;;
1260602;PISOS;PORCELANATO CARRARA ;756840;1484000;1187200;890400;102;88;142;332;1700;60X120;2.16;40;43;CAJA;3;287;143501;;
2504091;PARED;PARED ALBACETE;593640;1164000;931200;698400;146;112;16;274;1000;40X80;1.92;48;28;CAJA;6;213;143501;;
2531311;PARED;PARED CERAMICA MURCIA;38760;76000;60800;45600;33;117;36;186;600;40X80;1.92;48;28;CAJA;6;214;143501;;
225028289;PISOS;PIETRA PISO GRIS;459510;901000;720800;540600;13;78;125;216;1900;61X61;1.86;0;0;CAJA;5;363;143501;;
325011001;BAÑOS;COMBO LAGUNA 4.8 S/PEDESTAL BLANCO;268770;527000;421600;316200;78;43;9;130;1600;1;1;0;0;CAJA;0;76;143501;;
565452501;PISOS;PISO MARMOL PARAMO GRIS ;268770;527000;421600;316200;3;63;78;144;1400;55X55;1.52;0;0;CAJA;5;365;143501;;
565962001;PISOS;PISO MARMOL CAPRI BCO ;73950;145000;116000;87000;92;110;11;213;1500;55X55;1.52;0;0;CAJA;5;364;143501;;
902051501;OTROS;MEGAPEGA CERAMICO;149120;233000;209700;186400;63;135;2;200;600;25K;1;25;25;BULTO;0;201;143501;;
993051011;OTROS;FRAGUA CORONA BLANCO;62080;97000;87300;77600;129;11;132;272;1500;2K;1;2;2;CAJA;0;198;143501;;
993051051;OTROS;FRAGUA CORONA BEIGE;141440;221000;198900;176800;88;128;129;345;1000;2K;1;0;0;CAJA;0;197;143501;;
01IT057;PISOS;PORCELANATO MORANDI GRIS ;241740;474000;379200;284400;12;128;58;198;1200;58,4 X 118,4;2.07;48;35;CAJA;3;298;143501;;
