id;nombres;apellidos;razonSocial;tipoPersona;tipoIdentificacion;noIdentificacion;dv;contacto;nombreComercial;direccion;ciudad;codigoCiudad;departamento;codigoDepartamento;asesorComercial;telefono1;telefono2;email2;cupoCredito;maximoFacturas;estado;email2;;;;;;;;;;;;
1;JOSE ALVEIRO;GALLEGO PEREZ;CERAMICAS CONSTRUHOGAR 2;13 - NATURAL;CC;16746721;2;JOSE ALVEIRO GALLEGO PEREZ;-;CR 8 73-25;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3148695626;;;0;1;activo;;;;;;;;;;;;;
2;DISTRICERAMICAS DEL;NORTE ;DISTRICERAMICAS DEL NORTE ;13 - NATURAL;CC;29756089;5;LUZ NELLY CARDONA BOETRO;-;CL 10 2 46 ROLDANILLO ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;316 6295449;;;0;1;activo;;;;;;;;;;;;;
3;; ;ALMACEN CONSTRUCALI ;13 - NATURAL;CC;55990044;1;MARI LUZ MOTA;-;CL 15 # 11-53;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3188367460;;;0;1;activo;;;;;;;;;;;;;
4;DIEGO FERNANDO;CEDEÑO BEJARANO;OUTLET DE LA CERAMICA LA 15;13 - NATURAL;CC;94417216;7;OUTLET DE LA CERAMICA LA 15;-;CL 15  18 A 05;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3136005116;;;0;1;activo;;;;;;;;;;;;;
5;ALEXANDER ;BONILLA ;ALEXANDER BONILLA ;13 - NATURAL;CC;94448020;;ALEXANDER BONILLA ;-;SANTANDER DE QUILICHAO ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;;;;0;1;activo;;;;;;;;;;;;;
6;BRAYAN ARNULFO;PARRA RUIZ;"DISTRIBUCIONES NYG (MARINO TULUA)
";13 - NATURAL;CC;1116258517;6;"DISTRIBUCIONES NYG (MARINO TULUA)
";"DISTRIBUCIONES NYG (MARINO TULUA)
";CL 25 20 18 EL CENTRO DE TULUA ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3157240129;;;0;1;activo;;;;;;;;;;;;;
7;MARIA ALEJANDRA;OLAYA ;MARIA ALEJANDRA OLAYA ;13 - NATURAL;CC;1116262652;;MARIA ALEJANDRA OLAYA ;-;CLL 28  · 24  36    CENTRO ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;;;;0;1;activo;;;;;;;;;;;;;
8;JESICA ALEXANDRA;BUITRAGO ;CERAMIC PALLETS;13 - NATURAL;CC;1130596605;;CERAMIC PALLETS;-;CALLE 15 #22-23;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3184483186;;;0;1;activo;;;;;;;;;;;;;
9;HEIBER AGUSTIN;VARGAS ALVAREZ;HEIBER AGUSTIN VARGAS ALVAREZ;13 - NATURAL;CC;5829743;1;HEIBER;CERAMICA VIDA Y FUTURO;CL 15 21 67;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3161792224;;heibervar13@gmail.com;0;1;activo;;;;;;;;;;;;;
10;CARLOS ;AREVALO ;CARLOS AREVALO;13 - NATURAL;CC;7547307;;VICTOR GARCIA;CARLOS AREVALO;-;CALI;76001;VALLE DEL CAUCA;76;VICTOR GARCIA;3114583790;;;0;1;activo;;;;;;;;;;;;;
