codigo,nombre,tipo,naturaleza,nivel,codigo_padre,requiere_tercero,activa
8,CUENTAS DE ORDEN DEUDORAS,ODB,debit,1,,No,Si
81,DERECHOS CONTINGENTES,ODB,debit,2,8,No,Si
8105,BIENES Y VALORES ENTREGADOS EN CUSTODIA,ODB,debit,3,81,No,Si
8110,BIENES Y VALORES ENTREGADOS EN GARANTIA,ODB,debit,3,81,No,Si
8115,BIENES Y VALORES EN PODER DE TERCEROS,ODB,debit,3,81,No,Si
8120,LITIGIOS Y/O DEMANDAS,ODB,debit,3,81,No,Si
8125,PROMESAS DE COMPRAVENTA,ODB,debit,3,81,No,Si
8195,DIVERSAS,ODB,debit,3,81,No,Si
819505,VALORES ADQUIRIDOS POR RECIBIR,ODB,debit,4,8195,No,Si
81950501,Valores Adquiridos Por Recibir,ODB,debit,5,819505,Si,Si
819595,OTRAS,ODB,debit,4,8195,No,Si
81959501,Otras,ODB,debit,5,819595,Si,Si
82,DEUDORAS FISCALES,ODB,debit,2,8,No,Si
83,DEUDORAS DE CONTROL,ODB,debit,2,8,No,Si
8305,BIENES RECIBIDOS EN ARRENDAMIENTO FINANCIERO,ODB,debit,3,83,No,Si
8310,TITULOS DE INVERSION NO COLOCADOS,ODB,debit,3,83,No,Si
8315,PROPIEDADES- PLANTA Y EQUIPO TOTALMENTE DEPRECIADOS- AGOTADOS Y/O AMORTIZADOS,ODB,debit,3,83,No,Si
8320,CREDITOS A FAVOR NO UTILIZADOS,ODB,debit,3,83,No,Si
8325,ACTIVOS CASTIGADOS,ODB,debit,3,83,No,Si
8330,TITULOS DE INVERSION AMORTIZADOS,ODB,debit,3,83,No,Si
8335,CAPITALIZACION POR REVALORIZACION DE PATRIMONIO,ODB,debit,3,83,No,Si
8395,OTRAS CUENTAS DEUDORAS DE CONTROL,ODB,debit,3,83,No,Si
8399,AJUSTES POR INFLACION ACTIVOS,ODB,debit,3,83,No,Si
84,DERECHOS CONTINGENTES POR CONTRA (CR),ODB,debit,2,8,No,Si
85,DEUDORAS FISCALES POR CONTRA (CR),ODB,debit,2,8,No,Si
86,DEUDORAS DE CONTROL POR CONTRA (CR),ODB,debit,2,8,No,Si
9,CUENTAS DE ORDEN ACREEDORAS,OCR,credit,1,,No,Si
91,RESPONSABILIDADES CONTINGENTES,OCR,credit,2,9,No,Si
9105,BIENES Y VALORES RECIBIDOS EN CUSTODIA,OCR,credit,3,91,No,Si
9110,BIENES Y VALORES RECIBIDOS EN GARANTIA,OCR,credit,3,91,No,Si
9115,BIENES Y VALORES RECIBIDOS DE TERCEROS,OCR,credit,3,91,No,Si
9120,LITIGIOS Y/O DEMANDAS,OCR,credit,3,91,No,Si
9125,PROMESAS DE COMPRAVENTA,OCR,credit,3,91,No,Si
9130,CONTRATOS DE ADMINISTRACION DELEGADA,OCR,credit,3,91,No,Si
9135,CUENTAS EN PARTICIPACION,OCR,credit,3,91,No,Si
9195,OTRAS RESPONSABILIDADES CONTINGENTES,OCR,credit,3,91,No,Si
92,ACREEDORAS FISCALES,OCR,credit,2,9,No,Si
93,ACREEDORAS DE CONTROL,OCR,credit,2,9,No,Si
9305,CONTRATOS DE ARRENDAMIENTO FINANCIERO,OCR,credit,3,93,No,Si
9395,OTRAS CUENTAS DE ORDEN ACREEDORAS DE CONTROL,OCR,credit,3,93,No,Si
9399,AJUSTES POR INFLACION PATRIMONIO,OCR,credit,3,93,No,Si
94,RESPONSABILIDADES CONTINGENTES POR CONTRA (DB),OCR,credit,2,9,No,Si
95,ACREEDORAS FISCALES POR CONTRA (DB),OCR,credit,2,9,No,Si
96,ACREEDORAS DE CONTROL POR CONTRA (DB),OCR,credit,2,9,No,Si
