codigo,nombre,tipo,unidad,presentacion,categoria,linea,iva,precio_base,precio_venta_2,precio_venta_3,costo,activo,unspsc,ean,peso,cajas_en_pallet,und_empaque,peso_x_und_empaque,descripcion
2001,CONTROL PARA TV NIA 2001 NETFLIX,BIEN,UND,Caja x 12,Hogar,NIA,19,5000,4800,,3000,Si,,00065,0,0,0,0,
16GB,MEMORIA USB KINNGSTON REF:16GB,BIEN,UND,Caja x 12,Accesorios,NIA,19,10000,9700,,6000,Si,,02135,0,0,0,0,
47-AC,ROUTER REF:47-AC,BIEN,UND,Caja x 12,Accesorios,NIA,19,31000,29000,,18600,Si,,01493,0,0,0,0,
4KG-LPC,CARGADOR MULTIPUERTO USB 4KG REF. 4KG-LPC,BIEN,UND,Caja x 12,Accesorios,NIA,19,10000,9000,,6000,Si,,00021,0,0,0,0,
60WTC,CABLE TIPO A TIPO C REF:60W TC/TC 1 METRO,BIEN,UND,Caja x 12,accesorios,NIA,19,3800,3600,,2280,Si,,02342,0,0,0,0,
64G,MICRO SD SANDISK REF:64G CHINA,BIEN,UND,Caja x 12,Accesorios,NIA,19,22000,0,,13200,Si,,00299,0,0,0,0,
899-1,VENTILADOR REF:899-1,BIEN,UND,Caja x 12,Ventiladores,NIA,19,23000,22000,,13800,Si,,01500,0,0,0,0,
ACCABLE,CABLE PARA GRABADORA REF:AC CABLE,BIEN,UND,Caja x 12,Accesorios,NIA,19,1500,1400,,900,Si,,02184,0,0,0,0,
ALEXEECHODOT,PARLANTE ALEXA REF: ALEXE ECHO DOT,BIEN,UND,Caja x 12,Sonido,NIA,19,32000,30000,,19200,Si,,02073,0,0,0,0,
AN-011,CONTROL PARA CABINA NIA REF:AN-011,BIEN,UND,Caja x 12,Hogar,NIA,19,3800,3500,,2280,Si,,00595,0,0,0,0,
AN-04,MICROFONO ALAMBRICO NIA REF:AN-04,BIEN,UND,Caja x 12,Accesorios,NIA,19,4000,3700,,2400,Si,,00594,0,0,0,0,
AN-530,AUDIFONO NIA REF:AN-530,BIEN,UND,Caja x 12,Audifonos,NIA,19,4300,4200,,2580,Si,,01622,0,0,0,0,
AN-531,AUDIFONO NIA REF:AN-531 CON SALIDA TIPO C,BIEN,UND,Caja x 12,Audifonos,NIA,19,6000,5700,,3600,Si,,01621,0,0,0,0,
